[2022-03-19 02:13:58.705] [exthost] [info] Extension host with pid 160 started
[2022-03-19 02:13:58.711] [exthost] [info] Lock '/root/capsule/code/.vscode/User/workspaceStorage/-13f97471/vscode.lock': Lock acquired.
[2022-03-19 02:13:58.957] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2022-03-19 02:13:58.962] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.github
[2022-03-19 02:13:59.084] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2022-03-19 02:13:59.148] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
[2022-03-19 02:13:59.234] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2022-03-19 02:13:59.250] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2022-03-19 02:13:59.253] [exthost] [info] Eager extensions activated
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-19 02:13:59.837] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
