Gene
CSMD3
DLX6
MACF1
MKI67
MUC2
OBSCN
SMYD5
SRRM2
SUPT6H
TCF20
TP53
AR
CDC27
CKAP4
DNAH7
HTT
IL4R
OTUD4
PPARGC1B
RYR1
RYR3
SP8
ARID1B
CCDC155
DMKN
SETD1A
TTN
ACIN1
PIK3CA
ABCA13
ADGRV1
MUC16
SYNE1
DSPP
SEC22B
NUMBL
UNCX
EP400
MAGEC1
MUC6
ADCY4
MAML3
HUWE1
PAXIP1
BRD7
BZRAP1
