Gene
A1BG
A1CF
A2LD1
A2M
A3GALT2
A4GALT
A4GNT
AA057856
AA083069
AA177072
AA213559
AA293893
AA335815
AA346474
AA398241
AA398827
AA399555
AA400272
AA406061
AA420798
AA431235
AA431469
AA435525
AA448689
AA459851
AA470148
AA484452
AA489744
AA501572
AA515586
AA526513
AA532505
AA551223
AA554377
AA598548
AA609726
AA613620
AA620741
AA621750
AA628763
AA649918
AA658833
AA668123
AA680058
AA682371
AA705831
AA709087
AA713906
AA721481
AA722034
AA725558
AA744242
AA758702
AA766245
AA770086
AA778674
AA779998
AA781928
AA789270
AA812958
AA813722
AA827722
AA831838
AA844688
AA846343
AA854345
AA866199
AA883754
AA884386
AA889171
AA906426
AA907756
AA909514
AA909740
AA913455
AA918474
AA947189
AA969387
AA970376
AA972326
AA983865
AA985369
AA992213
AA994496
AA994498
AA995952
AAA1
AAAS
AACS
AADAC
AADACL2
AADACL3
AADACL4
AADAT
AAGAB
AAK1
AAMP
AARS
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATF
AATK
AB007962
AB020696
AB045832
AB052103
AB058757
AB062488
AB072895
AB074162
AB074280
AB074415
AB209486
AB231702
AB231706
AB231724
AB231737
AB231740
AB231761
AB371542
AB385205
AB527143
AB528045
AB593083
AB593110
AB621825
ABAT
ABCA1
ABCA10
ABCA11P
ABCA12
ABCA13
ABCA17P
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB11
ABCB4
ABCB5
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC12
ABCC13
ABCC2
ABCC3
ABCC4
ABCC5
ABCC6
ABCC6P1
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABCG4
ABCG8
ABHD1
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD16A
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABP1
ABR
ABRA
ABT1
ABTB1
ABTB2
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD8
ACAD9
ACADM
ACADSB
ACADVL
ACAN
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD4
ACBD5
ACBD6
ACCN1
ACCN2
ACCN3
ACCN4
ACCN5
ACCS
ACCSL
ACD
ACE
ACE2
ACER1
ACER2
ACER3
ACHE
ACIN1
ACLY
ACMSD
ACN9
ACO1
ACO2
ACOT1
ACOT11
ACOT12
ACOT13
ACOT2
ACOT4
ACOT6
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACP1
ACP2
ACP5
ACP6
ACPP
ACPT
ACR
ACRBP
ACRC
ACRV1
ACSBG1
ACSBG2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSM1
ACSM2A
ACSM2B
ACSM3
ACSM4
ACSM5
ACSS1
ACSS2
ACSS3
ACTA1
ACTA2
ACTB
ACTBL2
ACTC1
ACTG1
ACTG2
ACTL6A
ACTL6B
ACTL7A
ACTL7B
ACTL8
ACTN1
ACTN2
ACTN3
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR3BP5
ACTR3C
ACTR5
ACTR6
ACTR8
ACTRT1
ACTRT2
ACVR1
ACVR1B
ACVR2A
ACVR2B
ACVRL1
ACY1
ACY3
ACYP1
ACYP2
ADA
ADAD1
ADAD2
ADAL
ADAM10
ADAM11
ADAM12
ADAM15
ADAM17
ADAM19
ADAM2
ADAM21
ADAM21P
ADAM22
ADAM23
ADAM29
ADAM30
ADAM32
ADAM33
ADAM6
ADAM7
ADAM8
ADAM9
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS14
ADAMTS15
ADAMTS17
ADAMTS18
ADAMTS2
ADAMTS20
ADAMTS3
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS8
ADAMTS9
ADAMTSL1
ADAMTSL2
ADAMTSL3
ADAMTSL4
ADAMTSL5
ADAP1
ADAP2
ADAR
ADARB1
ADARB2-AS1
ADAT2
ADC
ADCK1
ADCK2
ADCK3
ADCK4
ADCK5
ADCY1
ADCY10
ADCY2
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
ADCYAP1
ADCYAP1R1
ADD1
