Gene
ABCA13
ACIN1
ADCY4
AR
ARID1B
BRD7
BZRAP1
CCDC155
CDC27
CKAP4
CSMD3
DLX6
DMKN
DNAH7
DSPP
EP400
HTT
HUWE1
IL4R
MACF1
MAGEC1
MAML3
MKI67
MUC16
MUC2
MUC6
NUMBL
OBSCN
OTUD4
PAXIP1
PIK3CA
PPARGC1B
RYR1
RYR3
SETD1A
SMYD5
SP8
SRRM2
SUPT6H
SYNE1
TCF20
TP53
TTN
