[2022-03-18 13:48:57.733] [exthost] [info] Extension host with pid 88 started
[2022-03-18 13:48:57.739] [exthost] [info] Lock '/root/capsule/code/.vscode/User/workspaceStorage/-13f97471/vscode.lock': Lock acquired.
[2022-03-18 13:48:57.979] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2022-03-18 13:48:57.985] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.github
[2022-03-18 13:48:58.075] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2022-03-18 13:48:58.161] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
[2022-03-18 13:48:58.266] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2022-03-18 13:48:58.289] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2022-03-18 13:48:58.294] [exthost] [info] Eager extensions activated
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.937] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.938] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.938] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.938] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.938] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
[2022-03-18 13:48:58.938] [exthost] [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/root/capsule/results/210803_drug-baseline-models/tasks/drugs_input_1' is beyond a symbolic link\n","exitCode":128}
